,"Age, BMI & VAT",Gut MB families
desaturations_of_10_20,0.07125273223928785,0.1154521121651267
desaturations_above_20,0.0138270875314674,0.0579771146013653
saturation_below_85,0.0589682107497016,0.08771308800328825
saturation_below_or_equal_88,0.13241503439757552,0.15659041327569515
sleep_latency,0.02862205824273215,0.0500378653626597
number_of_transitions_rem_to_nrem,0.02103353849224735,0.03504055534950095
sleep_efficiency,0.07641449702873454,0.08662197356554405
