,clinical_OSA
0,0.49972482113373695
1,0.49972482113373695
2,0.49972482113373695
3,0.49972482113373695
4,0.49972482113373695
5,0.49972482113373695
6,0.5
7,0.49972482113373695
8,0.49972482113373695
9,0.49972482113373695
10,0.49972482113373695
11,0.49972482113373695
12,0.49972482113373695
13,0.5
14,0.49972482113373695
15,0.49972482113373695
16,0.49972482113373695
17,0.49972482113373695
18,0.49944964226747385
19,0.49972482113373695
20,0.49972482113373695
21,0.49972482113373695
22,0.49972482113373695
23,0.49972482113373695
24,0.49972482113373695
25,0.49972482113373695
26,0.49972482113373695
27,0.5
28,0.49972482113373695
29,0.5
30,0.49972482113373695
31,0.5
32,0.49972482113373695
33,0.5
34,0.49972482113373695
35,0.49972482113373695
36,0.49972482113373695
37,0.49972482113373695
38,0.49972482113373695
39,0.5
40,0.49972482113373695
41,0.49972482113373695
42,0.49972482113373695
43,0.49972482113373695
44,0.49972482113373695
45,0.49972482113373695
46,0.49972482113373695
47,0.49972482113373695
48,0.49944964226747385
49,0.49972482113373695
